Country,Year,CO2 Emissions (1000 t)
Afghanistan,2005,3222.2
Afghanistan,2013,9851
Albania,1990,3101.66
Albania,1991,5166.7
Albania,1992,3311.06
Albania,1993,3235.4700000000003
Albania,1994,3500.4900000000002
Albania,1995,3477.42
Albania,1996,3341.56
Albania,1997,3426.64
Albania,1998,4139.06
Albania,1999,4478.33
Albania,2000,3507.9
Albania,2001,4224.1
Albania,2002,4283.95
Albania,2003,4614.75
Albania,2004,4939.110000000001
Albania,2005,4953.33
Albania,2006,4944.38
Albania,2007,5395.06
Albania,2008,5530.3
Albania,2009,5942.57
Algeria,1994,63705
Algeria,2000,71593.26
Angola,2000,16317
Angola,2005,27809
Antigua and Barbuda,1990,288.14000000000004
Antigua and Barbuda,2000,371.88
Argentina,1990,100867.5
Argentina,1994,117595.97
Argentina,1997,125563.93
Argentina,2000,128323.87000000001
Argentina,2010,181939.49
Argentina,2012,188265.15
Armenia,1990,21615.960000000003
Armenia,2000,3199.57
Armenia,2006,4173.95
Armenia,2010,4456.99
Australia,1990,278424.66
Australia,1991,279872.66
Australia,1992,284912.44
Australia,1993,289235.19
Australia,1994,294014.96
Australia,1995,305410.17
Australia,1996,312361.59
Australia,1997,320795.09
Australia,1998,334684.52
Australia,1999,344063.77
Australia,2000,350195.02
Australia,2001,357669.18
Australia,2002,362209.55
Australia,2003,369726.02
Australia,2004,383205.12
Australia,2005,386513.45
Australia,2006,392680.64999999997
Australia,2007,399842.46
Australia,2008,404417.41000000003
Australia,2009,407463.33
Australia,2010,405502.8
Australia,2011,404172.76
Australia,2012,406506.24
Australia,2013,397943.18
Australia,2014,394116.89
Australia,2015,401554.76
Australia,2016,411031.53
Australia,2017,415097.43000000005
Australia,2018,415953.95
Austria,1990,62124.7
Austria,1991,65725.53
Austria,1992,60204.07
Austria,1993,60635.42
Austria,1994,61002.44
Austria,1995,64065.259999999995
Austria,1996,67421.59
Austria,1997,67232.78
Austria,1998,66875.15000000001
Austria,1999,65562.72
Austria,2000,66162.89
Austria,2001,70102.6
Austria,2002,71918.76
Austria,2003,77554.25
Austria,2004,77674.39
Austria,2005,79192.43
Austria,2006,76898.33
Austria,2007,74262.59
Austria,2008,73588.4
Austria,2009,67493.95
Austria,2010,72011.84
Austria,2011,69898.23999999999
Austria,2012,67209.1
Austria,2013,67745.69
Austria,2014,64084.43
Austria,2015,66283.23999999999
Austria,2016,67112.27
Austria,2017,69628.86
Austria,2018,66719.68000000001
Azerbaijan,1990,55893.729999999996
Azerbaijan,1991,51901.46
Azerbaijan,1992,44546.68
Azerbaijan,1993,39136.42
Azerbaijan,1994,34272.68
Azerbaijan,1995,36561.350000000006
Azerbaijan,1996,29965.84
Azerbaijan,1997,28935.02
Azerbaijan,1998,28567.01
Azerbaijan,1999,27869.25
Azerbaijan,2000,29010.24
Azerbaijan,2001,28243.149999999998
Azerbaijan,2002,28031.43
Azerbaijan,2003,30733.16
Azerbaijan,2004,33010.78999999999
Azerbaijan,2005,35472.53
Azerbaijan,2006,34310.57
Azerbaijan,2007,29284.629999999997
Azerbaijan,2008,32283.34
Azerbaijan,2009,26893.1
Azerbaijan,2010,26411.829999999998
Azerbaijan,2011,28083.87
Azerbaijan,2012,29847.75
Azerbaijan,2013,39228.89
Bahamas,1990,1894.2
Bahamas,1994,1866.2
Bahamas,2000,660.4399999999999
Bahrain,1994,16483
Bahrain,2000,18170
Bangladesh,1994,16459.73
Bangladesh,2001,33148.52
Bangladesh,2005,40862.340000000004
Barbados,1990,1564.22
Barbados,1994,1913.3799999999999
Barbados,1997,2198.32
Belarus,1990,103689.70999999999
Belarus,1991,96647.13
Belarus,1992,88662.01
Belarus,1993,76380.05
Belarus,1994,62367.89
Belarus,1995,57375.450000000004
Belarus,1996,58214.8
Belarus,1997,58720.59
Belarus,1998,57372.47
Belarus,1999,54984.5
Belarus,2000,54877.36
Belarus,2001,54967.87
Belarus,2002,55077.7
Belarus,2003,56484.950000000004
Belarus,2004,60076.47
Belarus,2005,61367.1
Belarus,2006,64157.159999999996
Belarus,2007,63569.93
Belarus,2008,65694.82
Belarus,2009,61402.7
